Id,Formation,Player_Number,Player_Position,Player_Position_Abv,X,Y,,,,,,
163,3-4-2-1,18,Right Attacking Midfield,RAM,38,32,,,,,,
164,3-4-2-1,20,Left Attacking Midfield,LAM,12,32,,,,,,
165,3-4-2-1,23,Center Forward,CF,25,40,,,,,,
166,3-2-2-2-1,1,Goalkeeper,GK,25,5,,,,,,
167,3-2-2-2-1,3,Right Center Back,RCB,35,12,,,,,,
168,3-2-2-2-1,4,Center Back,CB,25,12,,,,,,
169,3-2-2-2-1,5,Left Center Back,LCB,15,12,,,,,,
170,3-2-2-2-1,9,Right Defensive Midfield,RDM,32,22,,,,,,
171,3-2-2-2-1,11,Left Defensive Midfield,LDM,18,22,,,,,,
172,3-2-2-2-1,12,Right Midfield,RM,42,27,,,,,,
173,3-2-2-2-1,16,Left Midfield,LM,8,27,,,,,,
174,3-2-2-2-1,18,Right Attacking Midfield,RAM,38,32,,,,,,
175,3-2-2-2-1,20,Left Attacking Midfield,LAM,12,32,,,,,,
176,3-2-2-2-1,23,Center Forward,CF,25,40,,,,,,
177,3-1-4-2,1,Goalkeeper,GK,25,5,,,,,,
178,3-1-4-2,3,Right Center Back,RCB,35,12,,,,,,
179,3-1-4-2,4,Center Back,CB,25,12,,,,,,
180,3-1-4-2,5,Left Center Back,LCB,15,12,,,,,,
181,3-1-4-2,10,Center Defensive Midfield,CDM,25,22,,,,,,
182,3-1-4-2,12,Right Midfield,RM,42,27,,,,,,
183,3-1-4-2,13,Right Center Midfield,,30,27,,,,,,
184,3-1-4-2,15,Left Center Midfield,,20,27,,,,,,
185,3-1-4-2,16,Left Midfield,LM,8,27,,,,,,
186,3-1-4-2,22,Right Center Forward,RCF,30,40,,,,,,
187,3-1-4-2,24,Left Center Forward,LCF,20,40,,,,,,
188,3-5-1-1,1,Goalkeeper,GK,25,5,,,,,,
189,3-5-1-1,3,Right Center Back,RCB,35,12,,,,,,
190,3-5-1-1,4,Center Back,CB,25,12,,,,,,
191,3-5-1-1,5,Left Center Back,LCB,15,12,,,,,,
192,3-5-1-1,12,Right Midfield,RM,42,27,,,,,,
193,3-5-1-1,13,Right Center Midfield,,30,27,,,,,,
194,3-5-1-1,14,Center Midfield,,25,27,,,,,,
195,3-5-1-1,15,Left Center Midfield,,20,27,,,,,,
196,3-5-1-1,16,Left Midfield,LM,8,27,,,,,,
197,3-5-1-1,23,Center Forward,CF,25,40,,,,,,
198,3-5-1-1,25,Secondary Striker,,25,36,,,,,,
199,3-4-1-2,1,Goalkeeper,GK,25,5,,,,,,
200,3-4-1-2,3,Right Center Back,RCB,35,12,,,,,,
201,3-4-1-2,4,Center Back,CB,25,12,,,,,,
202,3-4-1-2,5,Left Center Back,LCB,15,12,,,,,,
203,3-4-1-2,7,Right Wing Back,,42,27,,,,,,
204,3-4-1-2,8,Left Wing Back,,8,27,,,,,,
205,3-4-1-2,9,Right Defensive Midfield,RDM,32,22,,,,,,
206,3-4-1-2,11,Left Defensive Midfield,LDM,18,22,,,,,,
207,3-4-1-2,19,Center Attacking Midfield,CAM,25,32,,,,,,
208,3-4-1-2,22,Right Center Forward,RCF,30,40,,,,,,
209,3-4-1-2,24,Left Center Forward,LCF,20,40,,,,,,
210,3-4-3,1,Goalkeeper,GK,25,5,,,,,,
211,3-4-3,3,Right Center Back,RCB,35,12,,,,,,
212,3-4-3,4,Center Back,CB,25,12,,,,,,
213,3-4-3,5,Left Center Back,LCB,15,12,,,,,,
214,3-4-3,7,Right Wing Back,,42,27,,,,,,
215,3-4-3,8,Left Wing Back,,8,27,,,,,,
216,3-4-3,13,Right Center Midfield,,30,27,,,,,,
217,3-4-3,15,Left Center Midfield,,20,27,,,,,,
218,3-4-3,17,Right Wing,RW,39,36,,,,,,
219,3-4-3,21,Left Wing,LW,11,36,,,,,,
220,3-4-3,23,Center Forward,CF,25,40,,,,,,
221,3-5-2,1,Goalkeeper,GK,25,5,,,,,,
222,3-5-2,3,Right Center Back,RCB,35,12,,,,,,
223,3-5-2,4,Center Back,CB,25,12,,,,,,
224,3-5-2,5,Left Center Back,LCB,15,12,,,,,,
225,3-5-2,7,Right Wing Back,,42,27,,,,,,
226,3-5-2,8,Left Wing Back,,8,27,,,,,,
227,3-5-2,10,Center Defensive Midfield,CDM,25,22,,,,,,
228,3-5-2,13,Right Center Midfield,,30,27,,,,,,
229,3-5-2,15,Left Center Midfield,,20,27,,,,,,
230,3-5-2,22,Right Center Forward,RCF,30,40,,,,,,
231,3-5-2,24,Left Center Forward,LCF,20,40,,,,,,
232,5-2-2-1,1,Goalkeeper,GK,25,5,,,,,,
233,5-2-2-1,2,Right Back,RB,42,16,,,,,,
234,5-2-2-1,3,Right Center Back,RCB,35,12,,,,,,
235,5-2-2-1,4,Center Back,CB,25,12,,,,,,
236,5-2-2-1,5,Left Center Back,LCB,15,12,,,,,,
237,5-2-2-1,6,Left Back,LB,8,16,,,,,,
238,5-2-2-1,13,Right Center Midfield,,30,27,,,,,,
239,5-2-2-1,15,Left Center Midfield,,20,27,,,,,,
240,5-2-2-1,17,Right Wing,RW,39,36,,,,,,
241,5-2-2-1,21,Left Wing,LW,11,36,,,,,,
242,5-2-2-1,23,Center Forward,CF,25,40,,,,,,
